,Keywords,Frequency
0,problem,27
1,death,20
2,mistake,10
3,fire,8
4,cancer,8
5,crime,7
6,battle,7
7,vulnerability,6
8,tragedy,6
9,fight,5
10,anxiety,5
11,war,5
12,threat,5
13,demand,5
14,failure,4
15,block,4
16,cut,4
17,risk,4
18,attack,4
19,crash,4
20,trick,4
21,trouble,4
22,hell,4
23,prison,4
24,peril,4
25,collapse,3
26,thief,3
27,fake,3
28,die,3
29,pain,3
30,spam,3
31,victim,3
32,fraud,3
33,debt,3
34,error,3
35,max crash,3
36,exploit,3
37,scam,3
38,hard drive,3
39,danger,3
40,lack,3
41,mental illness,3
42,salesman problem,3
43,generative adversarial network,3
44,loneliness,2
45,common mistake,2
46,hate,2
47,wag,2
48,warning,2
49,murder,2
50,dead google product,2
51,stress,2
52,hong kong protest,2
53,technical debt,2
54,patent lawsuit,2
55,discord,2
56,strain,2
57,penalty,2
58,crisis,2
59,remote code execution vulnerability,2
60,bad idea,2
61,loss,2
62,depression,2
63,disaster,2
64,waste,2
65,critical step,2
66,criminal cop,2
67,mess,2
68,ghost,2
69,ad blocking,2
70,bad news,2
71,fault,2
72,ransomware attack,2
73,doom,2
74,ban,2
75,bias,2
76,cancer patient,2
77,chaos,2
78,nuclear waste,2
79,chaos engineering,2
80,kernel panic,2
81,disorder,2
82,low latency,2
83,cognitive bias,2
84,isolation level,2
85,ruin,2
86,lung cancer,2
87,trauma,2
88,conspiracy,1
89,boring technology,1
90,california ban private prison,1
91,difficult conversation,1
92,use offline account option,1
93,richard stallman resigns,1
94,lonely work,1
95,battling comcast,1
96,weird,1
97,apple hide taiwan flag,1
98,choose boring technology,1
99,youtube ban content,1
100,broken,1
101,nationwide scam,1
102,enterprise software suck,1
103,sucker shortage,1
104,hard thing,1
105,forgotten book programmer,1
106,blurry,1
107,dotfile madness,1
108,bike crash,1
109,postsurgical death,1
110,scotland drop,1
111,glitter bomb trick parcel thief,1
112,bother,1
113,journal editor resign start rival openaccess journal,1
114,public protest,1
115,negative article,1
116,nah,1
117,south park creator issue mock apology,1
118,apple block google,1
119,turbotax hide,1
120,hard way,1
121,paypal stop payouts,1
122,internet offline,1
123,optical problem,1
124,awkward goodbye,1
125,destroyer,1
126,criminal investigation,1
127,online annoyance,1
128,joi ito resigns,1
129,outcry,1
130,io exploit chain,1
131,sweden drop julian assange rape investigation,1
132,notification permission prompt spam,1
133,crap,1
134,equifax security fraud class action pdf,1
135,walkout,1
136,apple block facebook,1
137,cisco fix rv320rv325 vulnerability,1
138,serious chrome zeroday,1
139,struggle,1
140,insane people,1
141,epstein injury,1
142,loneliness get,1
143,hospital hate,1
144,oo suck,1
145,linux kernel inability,1
146,low memory pressure,1
